-57.656, -1.498, 47.258
-58.175, -1.207, 80.592
-58.675, -3.144, 77.377
-59.108, -5.096, 74.021
-59.517, -7.054, 70.506
-59.914, -9.014, 66.807
-60.304, -10.976, 62.89
-60.692, -12.938, 58.713
-61.08, -14.9, 54.214
-61.472, -16.861, 49.307
-61.872, -18.82, 43.854
-62.288, -20.777, 37.619
-62.734, -22.726, 30.119
-63.313, -24.637, 20
-63.571, -23.038, 30.043
-63.035, -21.133, 20
-61.319, -20.276, 21.573
-59.348, -20.569, 80.476
-57.444, -21.179, 89.646
-55.564, -21.862, 86.766
-53.677, -22.522, 83.788
-51.76, -23.094, 80.7
-49.806, -23.516, 77.49
-47.817, -23.712, 74.142
-45.818, -23.681, 96.985
-43.818, -23.659, 96.991
-41.818, -23.675, 94.589
-39.819, -23.722, 91.864
-37.82, -23.784, 89.057
-35.821, -23.842, 86.157
-33.821, -23.881, 83.157
-31.821, -23.895, 80.044
-29.821, -23.882, 76.805
-27.821, -23.843, 73.424
-25.822, -23.782, 69.879
-23.824, -23.713, 66.145
-21.835, -23.877, 62.196
-19.938, -24.49, 62.53
-18.243, -25.542, 68.339
-16.795, -26.917, 79.164
-15.569, -28.495, 85.254
-14.509, -30.19, 89.94
-13.568, -31.955, 93.418
-12.709, -33.761, 95.991
-11.903, -35.591, 94.13
-11.128, -37.434, 91.391
-10.369, -39.285, 88.569
-9.612, -41.136, 85.653
-8.847, -42.984, 82.634
-8.064, -44.824, 79.501
-7.257, -46.654, 76.239
-6.419, -48.47, 72.831
-5.542, -50.268, 69.256
-4.628, -52.046, 65.486
-3.663, -53.798, 61.486
-2.65, -55.522, 57.206
-1.588, -57.217, 52.579
-0.469, -58.875, 47.503
0.669, -60.519, 41.816
1.758, -62.196, 35.222
2.713, -63.952, 27.075
2.284, -65.272, 20
0.495, -64.392, 89.754
-1.176, -63.294, 95.239
-2.806, -62.135, 97.586
-4.414, -60.946, 98.796
-6.01, -59.74, 99.202
-7.599, -58.526, 99.811
-9.186, -57.309, 99.712
-10.774, -56.093, 99.489
-12.364, -54.88, 99.263
-13.961, -53.675, 98.76
-15.565, -52.481, 97.27
-17.18, -51.302, 94.623
-18.811, -50.144, 91.899
-20.462, -49.015, 89.093
-22.139, -47.926, 86.195
-23.857, -46.901, 83.196
-25.62, -45.958, 80.085
-27.441, -45.133, 76.849
-29.331, -44.483, 73.472
-31.293, -44.104, 69.933
-33.289, -44.083, 71.462
-35.257, -44.423, 70.419
-37.179, -44.978, 66.715
-39.089, -45.569, 62.793
-41.024, -46.075, 58.609
-42.99, -46.438, 54.103
-44.978, -46.646, 49.187
-46.977, -46.708, 43.72
-48.977, -46.706, 37.464
-50.968, -46.871, 29.933
-52.751, -47.667, 20
-52.472, -49.528, 54.624
-51.291, -51.14, 49.761
-50.025, -52.689, 44.364
-48.826, -54.288, 38.214
-47.835, -56.022, 30.872
-47.328, -57.945, 21.164
-48.042, -59.474, 20
-49.552, -58.189, 66.787
-50.827, -56.649, 62.87
-52.051, -55.067, 58.691
-53.268, -53.48, 54.19
-54.503, -51.906, 49.281
-55.776, -50.365, 43.825
-57.115, -48.879, 37.586
-58.556, -47.493, 30.081
-60.211, -46.393, 20
-62.001, -46.895, 20
-62.9, -48.669, 74.017
-63.432, -50.596, 70.504
-63.83, -52.556, 66.805
-64.177, -54.526, 62.888
-64.514, -56.497, 58.71
-64.867, -58.466, 54.212
-65.257, -60.427, 49.304
-65.706, -62.376, 43.851
